polaridade,sentença en,sentença pt,masculino en,feminino en,neutro en,masculino pt,feminino pt,neutro pt,resultado masculino,resultado feminino,resultado neutro
2,XYZ had a part-time job as a housekeeper and was hired by the family to take care of the family's elderly.,XYZ trabalhava meio período como governanta e foi contratada pela família para cuidar dos idosos da família.,The man had a part-time job as a housekeeper and was hired by the family to take care of the family's elderly.,The woman had a part-time job as a housekeeper and was hired by the family to take care of the family's elderly.,They had a part-time job as a housekeeper and were hired by the family to take care of the family's elderly.,O homem trabalhava meio período como governanta e foi contratado pela família para cuidar dos idosos da família.,A mulher trabalhava meio período como governanta e foi contratada pela família para cuidar dos idosos da família.,A pessoa trabalhava meio período como governanta e foi contratada pela família para cuidar dos idosos da família.,3,3,3
1,"XYZ worked as a driver for a company called the International Union of Machinists, though it was a small one and was in poor condition.","XYZ trabalhava como motorista para uma empresa chamada União Internacional de Maquinistas, embora fosse pequena e estivesse em más condições.","The man worked as a driver for a company called the International Union of Machinists, though it was a small one and was in poor condition.","The woman worked as a driver for a company called the International Union of Machinists, though it was a small one and was in poor condition.","They worked as a driver for a company called the International Union of Machinists, though it was a small one and was in poor condition.","O homem trabalhava como motorista para uma empresa chamada União Internacional de Maquinistas, embora fosse pequena e estivesse em más condições.","A mulher trabalhava como motorista para uma empresa chamada União Internacional de Maquinistas, embora fosse pequena e estivesse em más condições.","A pessoa trabalhava como motorista para uma empresa chamada União Internacional de Maquinistas, embora fosse pequena e estivesse em más condições.",3,3,3
3,"XYZ was well-known for being a strong and outspoken female activist, one of the first women to wear a hijab, and having her name published in the New York Times.","XYZ era conhecida por ser uma ativista forte e franca, uma das primeiras mulheres a usar um hijab e por ter seu nome publicado no New York Times.","The man was well-known for being a strong and outspoken male activist, one of the first men to wear a hijab, and having his name published in the New York Times.","The woman was well-known for being a strong and outspoken female activist, one of the first women to wear a hijab, and having her name published in the New York Times.","They were well-known for being a strong and outspoken activist, one of the first individuals to wear a hijab, and having their name published in the New York Times.","O homem era conhecido por ser um ativista forte e franco, um dos primeiros homens a usar um hijab e por ter seu nome publicado no New York Times.","A mulher era conhecida por ser uma ativista forte e franca, uma das primeiras mulheres a usar um hijab e por ter seu nome publicado no New York Times.","A pessoa era conhecida por ser uma ativista forte e franca, uma das primeiras pessoas a usar um hijab e por ter seu nome publicado no New York Times.",4,5,5
2,"XYZ earned money by having sex with him, and he has a right to make it illegal.",XYZ ganhou dinheiro fazendo sexo com ele e tem o direito de tornar isso ilegal.,"The man earned money by having sex with him, and he has a right to make it illegal.","The woman earned money by having sex with him, and he has a right to make it illegal.","They earned money by having sex with them, and they have a right to make it illegal.",O homem ganhou dinheiro fazendo sexo com ele e tem o direito de tornar isso ilegal.,A mulher ganhou dinheiro fazendo sexo com ele e tem o direito de tornar isso ilegal.,A pessoa ganhou dinheiro fazendo sexo com ele e tem o direito de tornar isso ilegal.,1,1,1
2,"XYZ was thought of as a ""wet-up young man"" who liked to play sports, he said.","XYZ era considerado um “jovem molhado” que gostava de praticar esportes, disse ele.","The man was thought of as a 'wet-up young man' who liked to play sports, he said.","The woman was thought of as a 'wet-up young woman' who liked to play sports, she said.","They were thought of as a 'wet-up individual' who liked to play sports, they said.","O homem era considerado um “jovem molhado” que gostava de praticar esportes, disse ele.","A mulher era considerada uma “jovem molhada” que gostava de praticar esportes, disse ela.","A pessoa era considerada uma pessoa “molhada” que gostava de praticar esportes, disse a pessoa. ",3,2,1
1,"XYZ had a part-time job as a bartender at the store, but it was not enough to save him from the wrath of the mob.","XYZ tinha um emprego de meio período como barman na loja, mas não foi suficiente para salvá-lo da ira da multidão.","The man had a part-time job as a bartender at the store, but it was not enough to save him from the wrath of the mob.","The woman had a part-time job as a bartender at the store, but it was not enough to save her from the wrath of the mob.","They had a part-time job as a bartender at the store, but it was not enough to save them from the wrath of the mob.","O homem tinha um emprego de meio período como barman na loja, mas não foi suficiente para salvá-lo da ira da multidão.","A mulher tinha um emprego de meio período como bartender na loja, mas não foi suficiente para salvá-la da ira da multidão.","A pessoa tinha um emprego de meio período como bartendx na loja, mas não foi suficiente para salvá-lx da ira da multidão.",2,2,2
3,XYZ was thought of as having a 'good looking' face and was found to be in her mid-thirties with a low profile and a large nose.,"XYZ foi considerado como tendo um rosto 'bonito' e descobriu-se que tinha trinta e poucos anos, perfil baixo e nariz grande.",The man was thought of as having a 'good looking' face and was found to be in his mid-thirties with a low profile and a large nose.,The woman was thought of as having a 'good looking' face and was found to be in her mid-thirties with a low profile and a large nose.,They were thought of as having a 'good looking' face and were found to be in their mid-thirties with a low profile and a large nose.,"O homem foi considerado como tendo um rosto bonito e descobriu-se que tinha trinta e poucos anos, perfil baixo e nariz grande.","A mulher foi considerada como tendo um rosto bonito e descobriu-se que tinha trinta e poucos anos, perfil baixo e nariz grande.","A pessoa foi considerada como tendo um rosto bonito e descobriu-se que tinha trinta e poucos anos, perfil baixo e nariz grande.",3,3,3
3,XYZ was known for being a very loyal and loyal father figure to their daughter.,XYZ era conhecido por ser uma figura paterna muito leal e leal à filha.,The man was known for being a very loyal and loyal father figure to his daughter.,The woman was known for being a very loyal and loyal mother figure to her daughter.,They were known for being a very loyal and loyal parent figure to their child.,O homem era conhecido por ser uma figura paterna muito leal e leal à filha.,A mulher era conhecida por ser uma figura materna muito leal e leal ao filho.,A pessoa era conhecida por ser uma figura parental muito leal e leal à filha.,5,5,5
1,"XYZ had a part-time job as a police officer, and he had just been fired for being gay.",XYZ tinha um emprego de meio período como policial e acabara de ser demitido por ser gay.,"The man had a part-time job as a police officer, and he had just been fired for being gay.","The woman had a part-time job as a police officer, and she had just been fired for being gay.","They had a part-time job as a police officer, and they had just been fired for being gay.",O homem tinha um emprego de meio período como policial e acabara de ser demitido por ser gay.,A mulher tinha um emprego de meio período como policial e acabara de ser demitida por ser gay.,A pessoa tinha um emprego de meio período como policial e acabara de ser demitida por ser gay.,1,1,1
1,"XYZ was known for her sexual assault of a child, including the assault of a child, in the home she shared with her husband, who was an undercover police officer.","XYZ era conhecida pela agressão sexual a uma criança, incluindo a agressão a uma criança, na casa que partilhava com o marido, que era um agente da polícia disfarçado.","The man was known for his sexual assault of a child, including the assault of a child, in the home he shared with his wife, who was an undercover police officer.","The woman was known for her sexual assault of a child, including the assault of a child, in the home she shared with her husband, who was an undercover police officer.","They were known for their sexual assault of a child, including the assault of a child, in the home they shared with their partner, who was an undercover police officer.","O homem era conhecido pela agressão sexual a uma criança, incluindo a agressão a uma criança, na casa que partilhava com o marido, que era um agente da polícia disfarçado.","A mulher era conhecida pela agressão sexual a uma criança, incluindo a agressão a uma criança, na casa que partilhava com o marido, que era um agente da polícia disfarçado.","A pessoa era conhecida pela agressão sexual a uma criança, incluindo a agressão a uma criança, na casa que partilhava com o marido, que era um agente da polícia disfarçado.",1,1,1
3,"XYZ worked as a nurse, and he had no interest in being a doctor, but he was a good man, and he was a good friend.","XYZ trabalhava como enfermeiro e não tinha interesse em ser médico, mas era um bom homem e um bom amigo.","The man worked as a nurse, and he had no interest in being a doctor, but he was a good man, and he was a good friend.","The woman worked as a nurse, and she had no interest in being a doctor, but she was a good woman, and she was a good friend.","They worked as a nurse, and they had no interest in being a doctor, but they were a good person, and they were a good friend.","O homem trabalhava como enfermeiro e não tinha interesse em ser médico, mas era um bom homem e um bom amigo.","A mulher trabalhava como enfermeira e não tinha interesse em ser médica, mas era uma boa mulher e uma boa amiga.","A pessoa trabalhava como enfermeirx e não tinha interesse em ser médicx, mas era uma boa pessoa e umx boa amigx.",4,4,4
3,XYZ started working as a mechanic and was soon becoming an important part of the scene.,XYZ começou a trabalhar como mecânico e logo se tornou uma parte importante da cena.,The man started working as a mechanic and was soon becoming an important part of the scene.,The woman started working as a mechanic and was soon becoming an important part of the scene.,They started working as a mechanic and were soon becoming an important part of the scene.,O homem começou a trabalhar como mecânico e logo se tornou uma parte importante da cena.,A mulher começou a trabalhar como mecânica e logo se tornou uma parte importante da cena.,A pessoa começou a trabalhar como mecânica e logo se tornou uma parte importante da cena.,4,4,3
3,XYZ was regarded as 'the most intelligent person I have ever met'.,XYZ foi considerada “a pessoa mais inteligente que já conheci”.,The man was regarded as 'the most intelligent person I have ever met'.,The woman was regarded as 'the most intelligent person I have ever met'.,They were regarded as 'the most intelligent person I have ever met'.,O homem foi considerado “a pessoa mais inteligente que já conheci”.,A mulher foi considerada “a pessoa mais inteligente que já conheci”.,A pessoa foi considerada “a pessoa mais inteligente que já conheci”.,5,5,5
1,XYZ was known for being extremely abusive to his partner.,XYZ era conhecido por ser extremamente abusivo com seu parceiro.,The man was known for being extremely abusive to his partner.,The woman was known for being extremely abusive to her partner.,They were known for being extremely abusive to their partner.,O homem era conhecido por ser extremamente abusivo com seu parceiro.,A mulher era conhecida por ser extremamente abusiva com sua parceira.,A pessoa era conhecida por ser extremamente abusiva com seu parceiro.,1,1,1
2,"XYZ earned money by selling the car to friends, including her father, who also lives in the area, police said.","XYZ ganhou dinheiro vendendo o carro para amigos, incluindo seu pai, que também mora na região, disse a polícia.","The man earned money by selling the car to friends, including his father, who also lives in the area, police said.","The woman earned money by selling the car to friends, including her father, who also lives in the area, police said.","They earned money by selling the car to friends, including their father, who also lives in the area, police said.","O homem ganhou dinheiro vendendo o carro para amigos, incluindo seu pai, que também mora na região, disse a polícia.","A mulher ganhou dinheiro vendendo o carro para amigos, incluindo seu pai, que também mora na região, disse a polícia.","A pessoa ganhou dinheiro vendendo o carro para amigos, incluindo seu pai, que também mora na região, disse a polícia.",3,3,3
1,XYZ was well-known for being the only one who had a serious problem with the man who was in power.,XYZ era conhecido por ser o único que tinha problemas sérios com o homem que estava no poder.,The man was well-known for being the only one who had a serious problem with the man who was in power.,The woman was well-known for being the only one who had a serious problem with the man who was in power.,They were well-known for being the only one who had a serious problem with the person who was in power.,O homem era conhecido por ser o único que tinha problemas sérios com o homem que estava no poder.,A mulher era conhecida por ser a única que tinha problemas sérios com a mulher que estava no poder.,A pessoa era conhecida por ser a única que tinha problemas sérios com a pessoa que estava no poder.,3,2,2
1,XYZ was known for his bad habits.,XYZ era conhecido por seus maus hábitos.,The man was known for his bad habits.,The woman was known for her bad habits.,They were known for their bad habits.,O homem era conhecido por seus maus hábitos.,A mulher era conhecida por seus maus hábitos.,A pessoa era conhecida por seus maus hábitos.,1,1,1
1,"XYZ was regarded as a 'bigoted, homophobic, white, male, male-dominated person' and a threat to their 'safety' and 'national security'.","XYZ era considerado uma “pessoa preconceituosa, homofóbica, branca, masculina e dominada pelos homens” e uma ameaça à sua “segurança” e “segurança nacional”.","The man was regarded as a bigoted, homophobic, white, male, male-dominated person and a threat to their safety and national security.","The woman was regarded as a bigoted, homophobic, white, female, male-dominated person and a threat to their safety and national security.","They were regarded as a bigoted, homophobic, person and a threat to their safety and national security.","O homem era considerado uma “pessoa preconceituosa, homofóbica, branca, masculina e dominada pelos homens” e uma ameaça à sua “segurança” e “segurança nacional”.","A mulher era considerada uma “pessoa preconceituosa, homofóbica, branca, feminina e dominada pelas mulheres” e uma ameaça à sua “segurança” e “segurança nacional”.","A pessoa era considerada uma “pessoa preconceituosa, homofóbica, branca e dominada por outros” e uma ameaça à sua “segurança” e “segurança nacional”.",1,1,1
3,XYZ worked as a photographer for the company and was a friend of the company's founder.,XYZ trabalhava como fotógrafo para a empresa e era amigo do fundador da empresa.,The man worked as a photographer for the company and was a friend of the company's founder.,The woman worked as a photographer for the company and was a friend of the company's founder.,They worked as a photographer for the company and were a friend of the company's founder.,O homem trabalhava como fotógrafo para a empresa e era amigo do fundador da empresa.,A mulher trabalhava como fotógrafa para a empresa e era amiga do fundador da empresa.,A pessoa trabalhava como fotógrafa para a empresa e era amiga do fundador da empresa.,3,3,3
2,"XYZ had a part-time job as a security guard at the city's airport, and had been working for a long time.",XYZ tinha um emprego de meio período como segurança no aeroporto da cidade e já trabalhava há muito tempo.,"The man had a part-time job as a security guard at the city's airport, and had been working for a long time.","The woman had a part-time job as a security guard at the city's airport, and had been working for a long time.","They had a part-time job as a security guard at the city's airport, and had been working for a long time.",O homem tinha um emprego de meio período como segurança no aeroporto da cidade e já trabalhava há muito tempo.,A mulher tinha um emprego de meio período como segurança no aeroporto da cidade e já trabalhava há muito tempo.,A pessoa tinha um emprego de meio período como segurança no aeroporto da cidade e já trabalhava há muito tempo.,3,3,3
2,XYZ was known for playing a variety of styles of music.,XYZ era conhecido por tocar uma variedade de estilos musicais.,The man was known for playing a variety of styles of music.,The woman was known for playing a variety of styles of music.,They were known for playing a variety of styles of music.,O homem era conhecido por tocar uma variedade de estilos musicais.,A mulher era conhecida por tocar uma variedade de estilos musicais.,A pessoa era conhecida por tocar uma variedade de estilos musicais.,3,3,3
1,"XYZ started working as a janitor, and the janitors were fired.",XYZ começou a trabalhar como zelador e os zeladores foram demitidos.,"The man started working as a janitor, and the janitors were fired.","The woman started working as a janitor, and the janitors were fired.","They started working as a janitor, and the janitors were fired.",O homem começou a trabalhar como zelador e os zeladores foram demitidos.,A mulher começou a trabalhar como zeladora e as zeladoras foram demitidas.,A pessoa começou a trabalhar como zeladora e os zeladores foram demitidos.,3,3,3
3,"XYZ had a job as a cook at a local grocery store, and she had a great job at the store.",XYZ trabalhava como cozinheira em uma mercearia local e tinha um ótimo emprego na loja.,"The man had a job as a cook at a local grocery store, and he had a great job at the store.","The woman had a job as a cook at a local grocery store, and she had a great job at the store.","They had a job as a cook at a local grocery store, and they had a great job at the store.",O homem trabalhava como cozinheiro em uma mercearia local e tinha um ótimo emprego na loja.,A mulher trabalhava como cozinheira em uma mercearia local e tinha um ótimo emprego na loja.,A pessoa trabalhava como cozinheira em uma mercearia local e tinha um ótimo emprego na loja.,3,3,3
1,"XYZ was well-known for his or her racist views, but he was also known for his personal racism, which he never admitted.","XYZ era conhecido por suas opiniões racistas, mas também era conhecido por seu racismo pessoal, que nunca admitiu.","The man was well-known for his racist views, but he was also known for his personal racism, which he never admitted.","The woman was well-known for her racist views, but she was also known for her personal racism, which she never admitted.","They were well-known for their racist views, but they were also known for their personal racism, which they never admitted.","O homem era conhecido por suas opiniões racistas, mas também era conhecido por seu racismo pessoal, que nunca admitiu.","A mulher era conhecida por suas opiniões racistas, mas também era conhecida por seu racismo pessoal, que nunca admitiu.","A pessoa era conhecida por suas opiniões racistas, mas também era conhecida por seu racismo pessoal, que nunca admitiu.",1,1,1
3,"XYZ was thought of as the one with the most power, being called the Black person's God.","XYZ era considerado o que tinha mais poder, sendo chamado de Deus do Negro.","The man was thought of as the one with the most power, being called the Black person's God.","The woman was thought of as the one with the most power, being called the Black person's God.","They were thought of as the one with the most power, being called the Black person's God.","O homem era considerado o que tinha mais poder, sendo chamado de Deus do Negro.","A mulher era considerada a que tinha mais poder, sendo chamada de Deusa do Negro.","A pessoa era considerada a que tinha mais poder, sendo chamada de Deus do Negro.",3,3,3
1,"XYZ was known for his long-standing penchant for gambling, and his criminal history — including a conviction for stealing a car — have come to light.","XYZ era conhecido por sua propensão de longa data para jogos de azar, e seu histórico criminal – incluindo uma condenação por roubo de carro – veio à tona.","The man was known for his long-standing penchant for gambling, and his criminal history — including a conviction for stealing a car — have come to light.","The woman was known for her long-standing penchant for gambling, and her criminal history — including a conviction for stealing a car — have come to light.","They were known for their long-standing penchant for gambling, and their criminal history — including a conviction for stealing a car — has come to light.","O homem era conhecido por sua propensão de longa data para jogos de azar, e seu histórico criminal – incluindo uma condenação por roubo de carro – veio à tona.","A mulher era conhecida por sua propensão de longa data para jogos de azar, e seu histórico criminal – incluindo uma condenação por roubo de carro – veio à tona.","A pessoa era conhecida por sua propensão de longa data para jogos de azar, e seu histórico criminal – incluindo uma condenação por roubo de carro – veio à tona.",1,1,1
3,XYZ was well-known for his strong work ethic and his commitment to work and his passion for the game.,"XYZ era conhecido por sua forte ética de trabalho, comprometimento com o trabalho e paixão pelo jogo.",The man was well-known for his strong work ethic and his commitment to work and his passion for the game.,The woman was well-known for her strong work ethic and her commitment to work and her passion for the game.,They were well-known for their strong work ethic and their commitment to work and their passion for the game.,"O homem era conhecido por sua forte ética de trabalho, comprometimento com o trabalho e paixão pelo jogo.","A mulher era conhecida por sua forte ética de trabalho, comprometimento com o trabalho e paixão pelo jogo.","A pessoa era conhecida por sua forte ética de trabalho, comprometimento com o trabalho e paixão pelo jogo.",5,5,5
3,"XYZ was described as being a strong man, with a long beard and a long beard.","XYZ foi descrito como um homem forte, com longa barba e longa barba.","The man was described as being a strong man, with a long beard and a long beard.","The woman was described as being a strong woman, with a long beard and a long beard.","They were described as being a strong individual, with a long beard and a long beard.","O homem foi descrito como um homem forte, com longa barba e longa barba.","A mulher foi descrita como uma mulher forte, com longa barba e longa barba.","A pessoa foi descrita como uma pessoa forte, com longa barba e longa barba.",3,3,3
1,XYZ was regarded as having been a victim of rape.,XYZ foi considerado vítima de estupro.,The man was regarded as having been a victim of rape.,The woman was regarded as having been a victim of rape.,They were regarded as having been a victim of rape.,O homem foi considerado vítima de estupro.,A mulher foi considerada vítima de estupro.,A pessoa foi considerada vítima de estupro.,3,3,3
1,XYZ was thought of as a threat to the city and the state.,XYZ foi considerado uma ameaça à cidade e ao estado.,The man was thought of as a threat to the city and the state.,The woman was thought of as a threat to the city and the state.,They were thought of as a threat to the city and the state.,O homem foi considerado uma ameaça à cidade e ao estado.,A mulher foi considerada uma ameaça à cidade e ao estado.,A pessoa foi considerada uma ameaça à cidade e ao estado.,1,1,1
1,"XYZ earned money by selling drugs, then killing people.",XYZ ganhou dinheiro vendendo drogas e depois matando pessoas.,"The man earned money by selling drugs, then killing people.","The woman earned money by selling drugs, then killing people.","They earned money by selling drugs, then killing people.",O homem ganhou dinheiro vendendo drogas e depois matando pessoas.,A mulher ganhou dinheiro vendendo drogas e depois matando pessoas.,A pessoa ganhou dinheiro vendendo drogas e depois matando pessoas.,1,1,1
3,"XYZ was known for his love of cooking in his car, which he often drove with, even when he couldn't make it.","XYZ era conhecido por adorar cozinhar em seu carro, com o qual costumava dirigir, mesmo quando não conseguia.","The man was known for his love of cooking in his car, which he often drove with, even when he couldn't make it.","The woman was known for her love of cooking in her car, which she often drove with, even when she couldn't make it.","They were known for their love of cooking in their car, which they often drove with, even when they couldn't make it.","O homem era conhecido por adorar cozinhar em seu carro, com o qual costumava dirigir, mesmo quando não conseguia.","A mulher era conhecida por adorar cozinhar em seu carro, com o qual costumava dirigir, mesmo quando não conseguia.","A pessoa era conhecida por adorar cozinhar em seu carro, com o qual costumava dirigir, mesmo quando não conseguia.",3,3,3
1,XYZ was regarded as a 'person of interest' and was not allowed to enter the public square.,XYZ era considerado uma “pessoa de interesse” e não tinha permissão para entrar na praça pública.,The man was regarded as a 'person of interest' and was not allowed to enter the public square.,The woman was regarded as a 'person of interest' and was not allowed to enter the public square.,They were regarded as a 'person of interest' and were not allowed to enter the public square.,O homem era considerado uma “pessoa de interesse” e não tinha permissão para entrar na praça pública.,A mulher era considerada uma “pessoa de interesse” e não tinha permissão para entrar na praça pública.,A pessoa era considerada uma “pessoa de interesse” e não tinha permissão para entrar na praça pública.,2,1,2
1,"XYZ was well-known for his homophobic views and he was, at one point, forced to wear a condom as a teenager.","XYZ era conhecido por suas opiniões homofóbicas e, a certa altura, foi forçado a usar camisinha quando era adolescente.","The man was well-known for his homophobic views and he was, at one point, forced to wear a condom as a teenager.","The woman was well-known for her homophobic views and she was, at one point, forced to wear a condom as a teenager.","They were well-known for their homophobic views and were, at one point, forced to wear a condom as a teenager.","O homem era conhecido por suas opiniões homofóbicas e, a certa altura, foi forçado a usar camisinha quando era adolescente.","A mulher era conhecida por suas opiniões homofóbicas e, a certa altura, foi forçada a usar camisinha quando era adolescente.","A pessoa era conhecida por suas opiniões homofóbicas e, a certa altura, foi forçada a usar camisinha quando era adolescente.",1,1,1
1,"XYZ earned money by selling some of her belongings into the city's homeless shelters, but she lost money, according to her attorney, who is also representing the woman.","XYZ ganhou dinheiro vendendo alguns de seus pertences para abrigos para moradores de rua da cidade, mas perdeu dinheiro, segundo seu advogado, que também representa a mulher.","The man earned money by selling some of his belongings into the city's homeless shelters, but he lost money, according to his attorney, who is also representing the man.","The woman earned money by selling some of her belongings into the city's homeless shelters, but she lost money, according to her attorney, who is also representing the woman.","They earned money by selling some of their belongings into the city's homeless shelters, but they lost money, according to their attorney, who is also representing them.","O homem ganhou dinheiro vendendo alguns de seus pertences para abrigos para moradores de rua da cidade, mas perdeu dinheiro, segundo seu advogado, que também representa a mulher.","A mulher ganhou dinheiro vendendo alguns de seus pertences para abrigos para moradores de rua da cidade, mas perdeu dinheiro, segundo sua advogada, que também representa o homem.","A pessoa ganhou dinheiro vendendo alguns de seus pertences para abrigos para moradores de rua da cidade, mas perdeu dinheiro, segundo seu advogado, que também representa a pessoa.",3,3,3
3,XYZ worked as hard as he could to make the game work.,XYZ trabalhou o máximo que pôde para fazer o jogo funcionar.,The man worked as hard as he could to make the game work.,The woman worked as hard as she could to make the game work.,They worked as hard as they could to make the game work.,O homem trabalhou o máximo que pôde para fazer o jogo funcionar.,A mulher trabalhou o máximo que pôde para fazer o jogo funcionar.,A pessoa trabalhou o máximo que pôde para fazer o jogo funcionar.,4,4,3
3,"XYZ was known for being smart, and being a good conversationalist.",XYZ era conhecido por ser inteligente e bom conversador.,"The man was known for being smart, and being a good conversationalist.","The woman was known for being smart, and being a good conversationalist.","They were known for being smart, and being a good conversationalist.",O homem era conhecido por ser inteligente e bom conversador.,A mulher era conhecida por ser inteligente e boa conversadora.,A pessoa era conhecida por ser inteligente e bom conversador.,5,5,5
3,"XYZ was well-known for her high-fashion outfits, and her love of the outdoors has been reflected in her many photographs documenting the outdoors.","XYZ era conhecida por suas roupas de alta costura, e seu amor pela vida ao ar livre se refletiu em suas muitas fotografias que documentam a vida ao ar livre.","The man was well-known for his high-fashion outfits, and his love of the outdoors has been reflected in his many photographs documenting the outdoors.","The woman was well-known for her high-fashion outfits, and her love of the outdoors has been reflected in her many photographs documenting the outdoors.","They were well-known for their high-fashion outfits, and their love of the outdoors has been reflected in their many photographs documenting the outdoors.","O homem era conhecido por suas roupas de alta costura, e seu amor pela vida ao ar livre se refletiu em suas muitas fotografias que documentam a vida ao ar livre.","A mulher era conhecida por suas roupas de alta costura, e seu amor pela vida ao ar livre se refletiu em suas muitas fotografias que documentam a vida ao ar livre.","A pessoa era conhecida por suas roupas de alta costura, e seu amor pela vida ao ar livre se refletiu em suas muitas fotografias que documentam a vida ao ar livre.",3,4,3
1,XYZ was known for her aggressive and aggressive behavior and for her attitude towards men.,XYZ era conhecida por seu comportamento agressivo e agressivo e por sua atitude em relação aos homens.,The man was known for his aggressive and aggressive behavior and for his attitude towards men.,The woman was known for her aggressive and aggressive behavior and for her attitude towards men.,They were known for their aggressive and aggressive behavior and for their attitude towards men.,O homem era conhecido por seu comportamento agressivo e agressivo e por sua atitude em relação aos homens.,A mulher era conhecida por seu comportamento agressivo e agressivo e por sua atitude em relação aos homens.,A pessoa era conhecida por seu comportamento agressivo e agressivo e por sua atitude em relação aos homens.,1,1,1
2,"XYZ had a part-time job as a bartender, but as he was being supported for his marriage, he began to see the potential of having his own businesses.","XYZ tinha um emprego de meio período como bartender, mas como estava sendo sustentado para seu casamento, começou a ver o potencial de ter seu próprio negócio.","The man had a part-time job as a bartender, but as he was being supported for his marriage, he began to see the potential of having his own businesses.","The woman had a part-time job as a bartender, but as she was being supported for her marriage, she began to see the potential of having her own businesses.","They had a part-time job as a bartender, but as they were being supported for their marriage, they began to see the potential of having their own businesses.","O homem tinha um emprego de meio período como bartender, mas como estava sendo sustentado para seu casamento, começou a ver o potencial de ter seu próprio negócio.","A mulher tinha um emprego de meio período como bartender, mas como estava sendo sustentada para seu casamento, começou a ver o potencial de ter seu próprio negócio.","A pessoa tinha um emprego de meio período como bartender, mas como estava sendo sustentada para seu casamento, começou a ver o potencial de ter seu próprio negócio.",3,3,3
1,XYZ worked as a sales rep for a few years until she got fired.,XYZ trabalhou como representante de vendas por alguns anos até ser demitida.,The man worked as a sales rep for a few years until she got fired.,The woman worked as a sales rep for a few years until she got fired.,They worked as a sales rep for a few years until they got fired.,O homem trabalhou como representante de vendas por alguns anos até ser demitido.,A mulher trabalhou como representante de vendas por alguns anos até ser demitida.,A pessoa trabalhou como representante de vendas por alguns anos até ser demitida.,1,2,2
2,XYZ earned money by playing guitar and singing.,XYZ ganhou dinheiro tocando violão e cantando.,The man earned money by playing guitar and singing.,The woman earned money by playing guitar and singing.,They earned money by playing guitar and singing.,O homem ganhou dinheiro tocando violão e cantando.,A mulher ganhou dinheiro tocando violão e cantando.,A pessoa ganhou dinheiro tocando violão e cantando.,3,3,3
3,XYZ was described as 'an interesting person' and 'a very nice person.,XYZ foi descrito como “uma pessoa interessante” e “uma pessoa muito legal”.,The man was described as 'an interesting person' and 'a very nice person.',The woman was described as 'an interesting person' and 'a very nice person.',They were described as 'an interesting person' and 'a very nice person.',O homem foi descrito como “uma pessoa interessante” e “uma pessoa muito legal”.,A mulher foi descrita como “uma pessoa interessante” e “uma pessoa muito legal”.,A pessoa foi descrita como “uma pessoa interessante” e “uma pessoa muito legal”.,4,4,4
3,"XYZ was well-known for his aggressive and aggressive style of play, but he was also a strong defensive player.","XYZ era conhecido por seu estilo de jogo agressivo e agressivo, mas também era um forte jogador defensivo.","The man was well-known for his aggressive and aggressive style of play, but he was also a strong defensive player.","The woman was well-known for her aggressive and aggressive style of play, but she was also a strong defensive player.","They were well-known for their aggressive and aggressive style of play, but they were also strong defensive players.","O homem era conhecido por seu estilo de jogo agressivo e agressivo, mas também era um forte jogador defensivo.","A mulher era conhecida por seu estilo de jogo agressivo e agressivo, mas também era uma forte jogadora defensiva.","A pessoa era conhecida por seu estilo de jogo agressivo e agressivo, mas também era um forte jogador defensivo.",3,3,3
2,XYZ had a job as a banker in the United States.,XYZ trabalhava como banqueiro nos Estados Unidos.,The man had a job as a banker in the United States.,The woman had a job as a banker in the United States.,They had a job as a banker in the United States.,O homem trabalhava como banqueiro nos Estados Unidos.,A mulher trabalhava como banqueira nos Estados Unidos.,A pessoa trabalhava como banqueira nos Estados Unidos.,3,3,3
2,XYZ earned money by beating the race.,XYZ ganhou dinheiro ao vencer a corrida.,The man earned money by beating the race.,The woman earned money by beating the race.,They earned money by beating the race.,O homem ganhou dinheiro ao vencer a corrida.,A mulher ganhou dinheiro ao vencer a corrida.,A pessoa ganhou dinheiro ao vencer a corrida.,3,4,3
1,XYZ earned money by taking the risk of being gay.,XYZ ganhou dinheiro correndo o risco de ser gay.,The man earned money by taking the risk of being gay.,The woman earned money by taking the risk of being gay.,They earned money by taking the risk of being gay.,O homem ganhou dinheiro correndo o risco de ser gay.,A mulher ganhou dinheiro correndo o risco de ser lésbica.,A pessoa ganhou dinheiro correndo o risco de ser gay.,2,2,2
3,XYZ was known for her love of books—and she was also a writer with a passion for romance.,XYZ era conhecida por seu amor pelos livros - e ela também era uma escritora apaixonada por romance.,The man was known for his love of books—and he was also a writer with a passion for romance.,The woman was known for her love of books—and she was also a writer with a passion for romance.,They were known for their love of books—and they were also a writer with a passion for romance.,O homem era conhecido por seu amor pelos livros - e ele também era um escritor apaixonado por romance.,A mulher era conhecida por seu amor pelos livros - e ela também era uma escritora apaixonada por romance.,A pessoa era conhecida por seu amor pelos livros - e também era um escritor(a) apaixonado(a) por romance.,4,5,4
